EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,2016-04-08,141604,0.15,United States,Seattle,2021-10-16
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,1997-11-29,99975,0.0,China,Chongqing,
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,2006-10-26,163099,0.2,United States,Chicago,
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,2019-09-27,84913,0.07,United States,Chicago,
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,1995-11-20,95409,0.0,United States,Phoenix,
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,2017-01-24,50994,0.0,China,Chongqing,
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,2020-07-01,119746,0.1,United States,Phoenix,
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,2020-05-16,41336,0.0,United States,Miami,2021-05-20
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,2019-01-25,113527,0.06,United States,Austin,
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,2018-06-13,77203,0.0,United States,Chicago,
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,2009-02-11,157333,0.15,United States,Miami,
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,2021-10-21,109851,0.0,United States,Seattle,
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,1999-03-14,105086,0.09,United States,Austin,
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,2021-06-10,146742,0.1,China,Shanghai,
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,2017-11-04,97078,0.0,United States,Austin,2020-03-09
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,2013-03-13,249270,0.3,United States,Seattle,
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,2002-03-04,175837,0.2,United States,Phoenix,
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,2003-12-01,154828,0.13,United States,Seattle,
E04116,David Barnes,Director,IT,Corporate,Male,Caucasian,64,2013-11-03,186503,0.24,United States,Columbus,
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,2002-07-09,166331,0.18,China,Chongqing,
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,2012-01-09,146140,0.1,Brazil,Manaus,
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,2021-04-02,151703,0.21,United States,Miami,
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,2002-05-24,172787,0.28,Brazil,Rio de Janerio,
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,2019-09-05,49998,0.0,United States,Seattle,
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,2014-03-02,207172,0.31,China,Chongqing,
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,2015-04-17,152239,0.23,United States,Columbus,
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,2005-02-05,98581,0.0,Brazil,Rio de Janerio,
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,2004-06-07,246231,0.31,United States,Seattle,
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,1996-12-04,99354,0.12,China,Beijing,
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,2012-05-11,231141,0.34,China,Beijing,
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,2017-06-25,54775,0.0,United States,Columbus,
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,2004-05-16,55499,0.0,Brazil,Manaus,
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,2008-07-11,66521,0.0,United States,Seattle,
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,2016-09-29,59100,0.0,China,Chongqing,
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,2018-05-06,49011,0.0,United States,Chicago,
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,2014-02-11,99575,0.0,United States,Austin,
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,2019-12-16,99989,0.0,China,Chengdu,
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,2019-10-20,256420,0.3,United States,Phoenix,
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,2013-05-15,78940,0.0,United States,Miami,
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,1994-01-03,82872,0.0,Brazil,Manaus,
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,2017-05-29,86317,0.0,China,Chengdu,2017-07-16
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,2013-11-23,113135,0.05,United States,Austin,
E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,2005-11-08,199808,0.32,United States,Seattle,
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,2013-11-14,56037,0.0,China,Shanghai,
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,2019-05-24,122350,0.12,United States,Phoenix,
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,2010-11-04,92952,0.0,United States,Seattle,
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,2013-03-20,79921,0.05,United States,Austin,
E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,2009-09-20,167199,0.2,United States,Seattle,
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,2012-10-17,71476,0.0,United States,Phoenix,
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,2014-10-29,189420,0.2,United States,Seattle,
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,2001-10-20,64057,0.0,United States,Phoenix,
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,2021-09-21,68728,0.0,United States,Phoenix,
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,2021-07-02,125633,0.11,China,Beijing,
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,2011-05-15,66889,0.0,United States,Columbus,
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,2015-09-29,178700,0.29,United States,Seattle,
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,2018-12-22,83990,0.0,United States,Chicago,
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,2005-12-10,102043,0.0,United States,Chicago,
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,2001-05-30,90678,0.0,United States,Columbus,
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,2008-08-21,59067,0.0,United States,Miami,
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,2021-03-11,135062,0.15,China,Chengdu,
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,2006-08-16,159044,0.1,Brazil,Manaus,
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,2019-01-02,74691,0.0,Brazil,Manaus,2020-07-08
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,2008-12-18,92753,0.13,United States,Austin,2021-06-24
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,2013-08-07,236946,0.37,United States,Seattle,
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,2021-08-27,48906,0.0,United States,Miami,
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,2008-01-27,80024,0.0,United States,Columbus,
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,2009-10-23,54415,0.0,United States,Seattle,2014-01-22
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,2016-04-24,120341,0.07,United States,Seattle,
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,2009-08-04,208415,0.35,United States,Seattle,
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,2020-01-05,78844,0.0,United States,Seattle,
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,2002-05-23,76354,0.0,United States,Phoenix,2021-09-26
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,2019-01-28,165927,0.2,United States,Phoenix,
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,2021-11-16,109812,0.09,Brazil,Manaus,
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,1998-09-03,86299,0.0,United States,Seattle,
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,2003-07-26,206624,0.4,Brazil,Sao Paulo,
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,2010-12-23,53215,0.0,Brazil,Sao Paulo,2014-03-27
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,2017-05-22,86858,0.0,China,Chongqing,2017-10-08
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,2007-07-02,93971,0.08,China,Chongqing,
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,2015-06-27,57008,0.0,United States,Phoenix,
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,2015-09-23,141899,0.15,United States,Phoenix,
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,2016-09-13,64847,0.0,United States,Miami,
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,1992-04-08,116878,0.11,United States,Miami,
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,2005-02-05,70505,0.0,United States,Austin,
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,2016-05-22,189702,0.28,Brazil,Manaus,2020-12-21
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,2020-07-28,180664,0.27,United States,Chicago,
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,2003-12-17,48345,0.0,China,Chengdu,
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,2014-01-16,152214,0.3,China,Beijing,
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,2009-04-28,69803,0.0,Brazil,Manaus,
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,2019-07-04,76588,0.0,Brazil,Rio de Janerio,
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,2018-12-10,84596,0.0,United States,Miami,
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,2018-09-25,114441,0.1,China,Chongqing,2019-12-22
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,2018-04-21,140402,0.15,China,Beijing,
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,2019-04-23,59817,0.0,Brazil,Sao Paulo,
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,2017-07-22,55854,0.0,United States,Austin,
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,2002-11-16,95998,0.0,United States,Seattle,
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,2015-04-22,154941,0.13,United States,Phoenix,
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,2011-07-10,247022,0.3,China,Beijing,
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,2021-10-05,88072,0.0,Brazil,Sao Paulo,
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,2020-05-26,67925,0.08,China,Shanghai,
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,2020-08-20,219693,0.3,United States,Austin,
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,2013-04-22,61773,0.0,United States,Seattle,
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,2007-01-09,74546,0.09,United States,Seattle,
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,2015-01-27,62575,0.0,United States,Miami,
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,2021-02-23,199041,0.16,China,Beijing,
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,2007-04-05,52310,0.0,United States,Miami,2018-10-12
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,2013-06-29,159571,0.1,United States,Columbus,
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,1997-10-23,91763,0.0,United States,Austin,
